Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1616 PRINCE ST #C,RENTED - Rented or Available since 12/28/1993,n/a,$674.26,Garbage,# Bed: 1
1616 PRINCE ST #D,RENTED - Rented or Available,4/1/15,"$1,100.00","Appliances, Garbage",# Bed: 1# Occ: 2
1616 PRINCE ST #REAR,OOCC - Owner Occupied since 4/15/2001,n/a,n/a,Garbage,n/a
1618 PRINCE ST,OOCC - Owner Occupied since 6/1/1994,n/a,n/a,Garbage,n/a
1618 PRINCE ST #A,OOCC - Owner Occupied since 6/1/2004,n/a,n/a,Garbage,n/a
1625 PRINCE ST #1,RENTED - Rented or Available,6/1/14,"$1,821.93","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 2# Occ: 1
1625 PRINCE ST #2,RENTED - Rented or Available,7/25/14,"$1,974.18","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
1625 PRINCE ST #3,RENTED - Rented or Available since 12/3/1993,n/a,$820.20,"Garbage, Parking, Water",# Bed: 2
1625 PRINCE ST #4,RENTED - Rented or Available since 6/4/1996,n/a,$741.20,"Garbage, Parking, Water",# Bed: 2
1625 PRINCE ST #5,RENTED - Rented or Available,1/1/07,$715.52,"Appliances, Electricity, Garbage, Parking",# Bed: 0# Occ: 1
1626 PRINCE ST,OOCC - Owner Occupied since 6/27/1997,n/a,n/a,"Parking, Storage",n/a
1632 PRINCE ST #A,RENTED - Rented or Available,7/2/12,"$1,263.48","Laundry Access, Parking, Water",# Bed: 1# Occ: 1
1632 PRINCE ST #B,RENTED - Rented or Available,4/1/16,"$2,250.00","Garbage, Laundry Access",# Bed: 2# Occ: 1
1632 PRINCE ST #C,(~) MISC - Exempt-Misc since 4/1/2016,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Water",n/a
1632 PRINCE ST #D,RENTED - Rented or Available,6/14/13,"$1,449.42","Appliances, Garbage, Laundry Access, Parking",# Bed: 1# Occ: 2
1632 PRINCE ST #E,NAR - Not Available for Rent since 11/1/2013,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",n/a
1632 PRINCE ST #F,RENTED - Rented or Available,7/1/08,"$1,398.22","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1632 PRINCE ST #G,RENTED - Rented or Available,2/2/16,"$1,575.00","Garbage, Laundry Access",# Bed: 0# Occ: 1
1635 PRINCE ST #A,RENTED - Rented or Available,1/19/11,"$1,284.96","Garbage, Parking",# Bed: 2# Occ: 4
1635 PRINCE ST #B,(~) MISC - Exempt-Misc since 5/11/2001,n/a,n/a,"Garbage, Parking",n/a
1635 PRINCE ST #C,RENTED - Rented or Available since 6/30/1997,n/a,$756.58,"Garbage, Parking",# Bed: 2
1635 PRINCE ST #D,OOCC - Owner Occupied since 4/1/2012,n/a,n/a,Parking,n/a
1635 PRINCE ST #E,RENTED - Rented or Available,6/1/02,$887.39,Garbage,# Bed: 2# Occ: 1
1635 PRINCE ST #F,RENTED - Rented or Available since 6/30/1997,n/a,$755.94,"Garbage, Parking",# Bed: 2
1643 PRINCE ST #1,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1643 PRINCE ST #2,RENTED - Rented or Available,9/15/12,"$1,047.64","Appliances, Garbage, Water",# Bed: 1# Occ: 2
1643 PRINCE ST #3,(~) MISC - Exempt-Misc since 12/17/2015,n/a,n/a,"Appliances, Garbage, Water",n/a
1643 PRINCE ST #4,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,(no active services),n/a
1643 PRINCE ST #5,RENTED - Rented or Available,12/15/12,"$1,105.55","Electricity, Garbage, Water",# Bed: 1# Occ: 2
1643 PRINCE ST #6,RENTED - Rented or Available,2/11/10,$951.94,"Garbage, Parking, Water",# Bed: 1# Occ: 1
1643 PRINCE ST #7,RENTED - Rented or Available,3/1/14,"$1,268.75","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1643 PRINCE ST #8,RENTED - Rented or Available,5/1/13,"$1,216.48","Appliances, Garbage, Water",# Bed: 1# Occ: 2
1644 PRINCE ST #1,(~) MISC - Exempt-Misc since 3/1/2010,n/a,n/a,(no active services),n/a
1644 PRINCE ST #2,RENTED - Rented or Available,9/25/09,"$1,369.43","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 4
1644 PRINCE ST #3,RENTED - Rented or Available,12/23/97,$806.72,"Garbage, Parking, Water",# Bed: 2# Occ: 0
1644 PRINCE ST #4,RENTED - Rented or Available,11/7/15,"$1,675.00","Garbage, Parking, Water",# Bed: 1# Occ: 2
1644 PRINCE ST #5,RENTED - Rented or Available,12/1/13,"$1,340.71","Appliances, Parking, Water",# Bed: 2# Occ: 2
1644 PRINCE ST #6,RENTED - Rented or Available,5/15/11,"$1,172.53","Appliances, Garbage, Parking",# Bed: 2# Occ: 2
1644 PRINCE ST #7,RENTED - Rented or Available,11/4/01,$942.83,"Laundry Access, Parking",# Bed: 1# Occ: 1
1645 PRINCE ST,OOCC - Owner Occupied since 8/1/2001,n/a,n/a,(no active services),n/a
1646 PRINCE ST,NEW - New Construction since 6/30/1994,n/a,n/a,(no active services),n/a
1646 PRINCE ST #2,NEW - New Construction since 6/30/1994,n/a,n/a,(no active services),n/a
1646 PRINCE ST #3,NEW - New Construction since 6/30/1994,n/a,n/a,(no active services),n/a
1646 PRINCE ST #4,NEW - New Construction since 6/30/1994,n/a,n/a,(no active services),n/a
1646 PRINCE ST #5,NEW - New Construction since 6/30/1994,n/a,n/a,(no active services),n/a
3101 ELLIS ST,OOCC - Owner Occupied since 7/16/1990,n/a,n/a,(no active services),n/a
1800 PRINCE ST,DUPLEX - Owner Occ duplex since 4/3/1998,n/a,n/a,(no active services),n/a
1807 PRINCE ST,OOCC - Owner Occupied since 2/1/2011,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1809 PRINCE ST #A,(~) MISC - Exempt-Misc since 5/1/2014,n/a,n/a,"Garbage, Storage, Water",n/a
1809 PRINCE ST #B,(~) MISC - Exempt-Misc since 7/1/2005,n/a,n/a,"Appliances, Garbage, Water",n/a
1808 PRINCE ST #1,RENTED - Rented or Available,12/31/01,"$1,487.01","Garbage, Water",# Bed: 4# Occ: 4
1808 PRINCE ST #2,RENTED - Rented or Available,10/1/15,"$1,700.00","Garbage, Water",# Bed: 2# Occ: 3
1808 PRINCE ST #3,RENTED - Rented or Available,9/1/00,$787.57,"Garbage, Water",# Bed: 1# Occ: 1
1817 PRINCE ST #A,RENTED - Rented or Available,8/1/14,"$2,182.25","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 3# Occ: 3
1817 PRINCE ST #B,RENTED - Rented or Available,3/15/10,"$2,175.86","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1828 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
1828 PRINCE ST #1/2,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
1835 PRINCE ST #A,RENTED - Rented or Available,8/1/09,"$1,971.99","Appliances, Garbage, Water",# Bed: 2# Occ: 2
1835 PRINCE ST #B,RENTED - Rented or Available,7/11/09,"$1,752.87","Garbage, Water",# Bed: 2# Occ: 2
1837 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage",n/a
2000 PRINCE ST,"CHSFD - Single family, C-H exempt since 1/1/1999",n/a,n/a,"Furnishings, Garbage, Laundry Access, Parking, Storage",n/a
2003 PRINCE ST #LOWER,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2003 PRINCE ST #UPPER,(~) MISC - Exempt-Misc since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2016 PRINCE ST,RENTED - Rented or Available,8/1/11,"$1,311.74","Garbage, Water",# Bed: 1# Occ: 1
2018 PRINCE ST,(~) MISC - Exempt-Misc since 5/1/2010,n/a,n/a,"Garbage, Sewer, Water",n/a
2020 PRINCE ST,OOCC - Owner Occupied since 4/5/2000,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
2024 PRINCE ST #LOWER,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2024 PRINCE ST #UPPER,DUPLEX - Owner Occ duplex since 6/18/1999,n/a,n/a,(no active services),n/a
2026 PRINCE ST,OOCC - Owner Occupied since 12/28/1999,n/a,n/a,(no active services),n/a
2124 PRINCE ST #A,NEW - New Construction since 7/1/1985,n/a,n/a,"Electricity, Gas, Laundry Access",n/a
2124 PRINCE ST #B,OOCC - Owner Occupied since 1/22/1986,n/a,n/a,(no active services),n/a
2124 PRINCE ST #1/2,DUPLEX - Owner Occ duplex since 6/25/1985,n/a,n/a,"Electricity, Gas, Laundry Access",n/a
2125 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2127 PRINCE ST #LOWER,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Storage",n/a
2127 PRINCE ST #UPPER,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Storage",n/a
2131 PRINCE ST #A,RENTED - Rented or Available,5/15/15,"$3,200.00","Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2131 PRINCE ST #B,RENTED - Rented or Available,1/24/09,"$1,862.43","Appliances, Garbage, Water",# Bed: 2# Occ: 2
2132 PRINCE ST #A,OOCC - Owner Occupied since 7/25/1990,n/a,n/a,(no active services),n/a
2132 PRINCE ST #B,OOCC - Owner Occupied since 7/25/1990,n/a,n/a,(no active services),n/a
2132 PRINCE ST #C,OOCC - Owner Occupied since 7/25/1990,n/a,n/a,(no active services),n/a
2201 PRINCE ST,RENTED - Rented or Available,5/31/80,$680.44,"Garbage, Parking, Storage, Water",# Bed: 1# Occ: 0
2203 PRINCE ST,RENTED - Rented or Available,7/1/16,"$2,348.90",Appliances,# Bed: 1# Occ: 2
2205 PRINCE ST,RENTED - Rented or Available,2/8/14,"$2,227.93","Garbage, Other, Water",# Bed: 2# Occ: 2
2207 PRINCE ST,RENTED - Rented or Available,12/17/05,"$1,358.11","Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 2
2209 PRINCE ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
2214 PRINCE ST #A,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,"Electricity, Garbage, Gas, Storage, Water",n/a
2214 PRINCE ST #B,NEW - New Construction since 1/1/1990,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
2216 PRINCE ST,RENTED - Rented or Available,12/1/15,"$2,850.00","Appliances, Garbage, Water",# Bed: 1# Occ: 3
2218 PRINCE ST,RENTED - Rented or Available,6/21/15,"$3,575.00","Appliances, Garbage, Other",# Bed: 0# Occ: 4
2218 PRINCE ST #A,OOCC - Owner Occupied since 1/1/2008,n/a,n/a,(no active services),n/a
2230 PRINCE ST #1,RENTED - Rented or Available,4/1/15,"$2,895.00","Appliances, Laundry Access",# Bed: 1# Occ: 2
2230 PRINCE ST #2,RENTED - Rented or Available,10/1/13,"$1,754.83",Appliances,# Bed: 1# Occ: 1
2230 PRINCE ST #3,RENTED - Rented or Available,5/31/80,$670.15,"Appliances, Garbage, Laundry Access, Parking",# Bed: 1# Occ: 0
2230 PRINCE ST #4,RENTED - Rented or Available,8/10/15,"$2,300.00","Appliances, Laundry Access",# Bed: 1# Occ: 2
2230 PRINCE ST #5,RENTED - Rented or Available,8/1/15,"$2,395.00","Appliances, Laundry Access",# Bed: 1# Occ: 1
2230 PRINCE ST #6,NEW - New Construction,12/31/95,n/a,Appliances,n/a
2230 PRINCE ST #7,NEW - New Construction,12/31/95,n/a,(no active services),n/a
2230 PRINCE ST #8,NEW - New Construction,12/31/95,n/a,(no active services),n/a
2247 PRINCE ST #LOWER,RENTED - Rented or Available,7/21/14,"$2,182.25","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2247 PRINCE ST #UPPER,RENTED - Rented or Available,3/2/15,"$3,250.00","Appliances, Garbage, Laundry Access, Water",# Bed: 3# Occ: 3
2247 PRINCE ST #STUDIO,RENTED - Rented or Available,5/15/10,$815.94,"Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
3101 DEAKIN ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage",n/a
2300 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage",n/a
2307 PRINCE ST #1,RENTED - Rented or Available,9/1/15,"$1,895.00","Garbage, Sewer, Water",# Bed: 1# Occ: 1
2307 PRINCE ST #2,RENTED - Rented or Available,8/1/13,"$3,556.26","Garbage, Sewer, Water",# Bed: 3# Occ: 4
2309 PRINCE ST #1,RENTED - Rented or Available,8/1/13,"$2,303.54","Garbage, Sewer, Water",# Bed: 2# Occ: 1
2309 PRINCE ST #2,RENTED - Rented or Available,10/1/97,$723.03,Heat,# Bed: 1# Occ: 0
2314 PRINCE ST #A,RENTED - Rented or Available,6/1/11,"$1,499.11","Garbage, Water",# Bed: 1# Occ: 2
2314 PRINCE ST #B,RENTED - Rented or Available,12/13/02,"$1,694.25","Garbage, Water",# Bed: 2# Occ: 1
2314 PRINCE ST #C,RENTED - Rented or Available,3/1/15,"$1,250.00","Garbage, Water",# Bed: 1# Occ: 1
2314 PRINCE ST #D,RENTED - Rented or Available,6/15/99,"$1,171.41","Garbage, Water",# Bed: 1# Occ: 1
2316 PRINCE ST,RENTED - Rented or Available since 2/28/1994,n/a,$628.87,"Furnishings, Garbage, Sewer, Water",# Bed: 1
2318 PRINCE ST,RENTED - Rented or Available,2/15/15,"$1,800.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
2320 PRINCE ST,OOCC - Owner Occupied since 11/8/2007,n/a,n/a,"Appliances, Garbage, Water",n/a
2322 PRINCE ST,OOCC - Owner Occupied since 7/10/2005,n/a,n/a,"Furnishings, Garbage, Water",n/a
2324 PRINCE ST,RENTED - Rented or Available,7/26/12,"$1,863.63","Appliances, Garbage, Laundry Access, Parking, Storage",# Bed: 2# Occ: 2
2326 PRINCE ST,RENTED - Rented or Available,9/23/12,"$1,947.87","Appliances, Garbage, Laundry Access, Parking, Storage",# Bed: 2# Occ: 2
2327 PRINCE ST #1,RENTED - Rented or Available,5/15/12,"$1,526.70","Garbage, Water",# Bed: 1# Occ: 2
2327 PRINCE ST #2,RENTED - Rented or Available,10/1/13,"$2,277.66","Garbage, Laundry Access, Storage, Water",# Bed: 2# Occ: 2
2327 PRINCE ST #3,RENTED - Rented or Available,12/7/13,"$2,174.13","Garbage, Storage, Water",# Bed: 2# Occ: 1
2327 PRINCE ST #4,RENTED - Rented or Available,6/5/06,"$1,841.66","Garbage, Storage, Water",# Bed: 1# Occ: 2
2327 PRINCE ST #5,RENTED - Rented or Available,5/31/80,$915.75,"Garbage, Heat, Sewer, Storage, Water",# Bed: 1# Occ: 0
2327 PRINCE ST #6,RENTED - Rented or Available,6/1/13,"$2,018.84","Garbage, Water",# Bed: 2# Occ: 2
2327 PRINCE ST #7,RENTED - Rented or Available,2/3/14,"$2,182.25","Garbage, Storage, Water",# Bed: 2# Occ: 2
2327 PRINCE ST #8,RENTED - Rented or Available,3/1/08,"$1,864.29","Garbage, Sewer, Storage, Water",# Bed: 2# Occ: 1
2327 PRINCE ST #9,RENTED - Rented or Available,12/11/13,"$2,122.37","Heat, Storage, Water",# Bed: 2# Occ: 1
2327 PRINCE ST #10,RENTED - Rented or Available,2/1/09,"$3,286.65","Garbage, Storage, Water",# Bed: 3# Occ: 3
2327 PRINCE ST #11,RENTED - Rented or Available,4/1/11,"$1,766.82","Garbage, Storage, Water",# Bed: 2# Occ: 1
2327 PRINCE ST #12,RENTED - Rented or Available,5/31/80,$925.51,"Garbage, Heat, Sewer, Storage, Water",# Bed: 1# Occ: 0
2414 PRINCE ST,OOCC - Owner Occupied since 8/1/2000,n/a,n/a,"Garbage, Water",n/a
2418 PRINCE ST #1,RENTED - Rented or Available,5/31/80,"$1,032.67","Garbage, Laundry Access, Parking, Storage",# Bed: 2# Occ: 0
2418 PRINCE ST #2,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Laundry Access, Parking, Storage, Water",n/a
2418 PRINCE ST #3,RENTED - Rented or Available,8/1/12,"$1,658.33","Appliances, Garbage, Parking, Storage",# Bed: 2# Occ: 2
2418 PRINCE ST #4,RENTED - Rented or Available,5/31/80,$838.14,"Garbage, Laundry Access, Parking, Storage",# Bed: 2# Occ: 0
2418 PRINCE ST #5,RENTED - Rented or Available,5/31/80,$855.96,"Garbage, Laundry Access, Parking, Storage",# Bed: 1# Occ: 0
2425 PRINCE ST #LOWER,RENTED - Rented or Available,2/15/10,"$2,100.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 3# Occ: 4
2425 PRINCE ST #UPPER,RENTED - Rented or Available,10/1/10,"$1,500.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 2# Occ: 3
3035 COLBY ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
2461 PRINCE ST,OOCC - Owner Occupied since 7/16/1990,n/a,n/a,(no active services),n/a
3074 BATEMAN ST,MISC - Exempt-Misc since 10/20/2014,n/a,n/a,"Appliances, Garbage",n/a
2510 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Electricity, Garbage, Gas, Parking, Storage, Water",n/a
2511 PRINCE ST #1,RENTED - Rented or Available,4/1/08,"$1,968.48","Garbage, Water",# Bed: 2# Occ: 2
2511 PRINCE ST #2,RENTED - Rented or Available,2/1/11,"$1,044.04","Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2511 PRINCE ST #3,RENTED - Rented or Available,5/15/16,"$1,800.00","Garbage, Water",# Bed: 1# Occ: 1
2511 PRINCE ST #4,RENTED - Rented or Available,10/4/12,"$1,395.10","Appliances, Garbage, Water",# Bed: 1# Occ: 1
2511 PRINCE ST #5,RENTED - Rented or Available since 11/30/2009,n/a,"$1,040.77","Garbage, Water",# Bed: 1
2511 PRINCE ST #6,RENTED - Rented or Available,8/1/13,"$1,496.01",Garbage,# Bed: 1# Occ: 1
2511 PRINCE ST #7,RENTED - Rented or Available since 4/5/1994,n/a,$657.53,"Furnishings, Garbage, Laundry Access, Water",# Bed: 1
2511 PRINCE ST #8,RENTED - Rented or Available,8/22/16,"$1,950.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2511 PRINCE ST #9,RENTED - Rented or Available,11/13/05,"$1,033.33",Garbage,# Bed: 1# Occ: 1
2700 PRINCE ST #1,NAR - Not Available for Rent since 7/1/2012,n/a,n/a,"Garbage, Laundry Access, Water",n/a
2700 PRINCE ST #2,RENTED - Rented or Available,1/15/96,"$1,004.87","Furnishings, Garbage, Water",# Bed: 1# Occ: 0
2700 PRINCE ST #3,NAR - Not Available for Rent since 7/1/2011,n/a,n/a,"Appliances, Garbage, Laundry Access, Water",n/a
2700 PRINCE ST #4,NAR - Not Available for Rent since 6/1/2016,n/a,n/a,Garbage,n/a
2701 PRINCE ST #1,RENTED - Rented or Available,8/1/10,"$1,795.09","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2701 PRINCE ST #2,RENTED - Rented or Available,6/20/16,"$2,795.00","Garbage, Water",# Bed: 1# Occ: 2
2701 PRINCE ST #3,RENTED - Rented or Available,3/15/16,"$2,450.00","Appliances, Garbage, Heat, Water",# Bed: 1# Occ: 1
2701 PRINCE ST #4,RENTED - Rented or Available,8/1/13,"$2,743.55","Garbage, Water",# Bed: 2# Occ: 2
2712 PRINCE ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Furnishings, Parking",n/a
2716 PRINCE ST,NAR - Not Available for Rent since 5/1/2013,n/a,n/a,"Electricity, Garbage, Water",n/a
2716 PRINCE ST #A,RENTED - Rented or Available,9/29/12,"$1,000.25","Electricity, Garbage, Water",# Bed: 0# Occ: 1
2724 PRINCE ST,RENTED - Rented or Available,12/6/14,"$2,030.00","Appliances, Garbage, Storage, Water",# Bed: 1# Occ: 2
2726 PRINCE ST,RENTED - Rented or Available,11/1/12,"$2,053.15","Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 2
2728 PRINCE ST,RENTED - Rented or Available,6/10/11,"$1,927.43","Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 1# Occ: 2
2730 PRINCE ST,RENTED - Rented or Available,11/14/99,"$1,869.98","Garbage, Other, Parking, Sewer, Water",# Bed: 1# Occ: 1
2742 PRINCE ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Electricity, Garbage, Gas, Other, Water",n/a
2810 PRINCE ST,OOCC - Owner Occupied since 10/22/1990,n/a,n/a,(no active services),n/a
2814 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2818 PRINCE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2819 PRINCE ST,MISC - Exempt-Misc since 11/1/2015,n/a,n/a,Storage,n/a
2819 PRINCE ST #F,RENTED - Rented or Available,6/1/16,"$4,500.00","Appliances, Garbage, Heat, Laundry Access, Parking, Storage",# Bed: 4# Occ: 4
2826 PRINCE ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Furnishings, Garbage, Parking, Storage, Water",n/a
2829 PRINCE ST #1,RENTED - Rented or Available,1/1/01,$912.54,"Electricity, Garbage, Gas, Sewer, Water",# Bed: 0# Occ: 1
2829 PRINCE ST #2,RENTED - Rented or Available,5/31/80,$758.58,"Electricity, Garbage, Gas, Storage, Water",# Bed: 0# Occ: 0
2829 PRINCE ST #3,RENTED - Rented or Available,6/1/98,$818.13,"Electricity, Garbage, Gas, Storage, Water",# Bed: 0# Occ: 0
2829 PRINCE ST #4,RENTED - Rented or Available,1/18/16,"$2,500.00","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 2
2829 PRINCE ST #5,RENTED - Rented or Available,9/5/15,"$1,750.00","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 1
2829 PRINCE ST #6,RENTED - Rented or Available,7/15/14,"$2,024.93","Appliances, Electricity, Garbage, Gas, Water",# Bed: 1# Occ: 1
2847 PRINCE ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,"Laundry Access, Parking, Storage",n/a
2311 PROSPECT ST #2A,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2B,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2C,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2D,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2E,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2F,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2G,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2H,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2J,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2K,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #2L,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3A,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3B,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3C,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3D,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3E,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3F,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3G,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3H,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2311 PROSPECT ST #3I,GREEK - Fraternity or Sorority House since 4/1/2013,n/a,n/a,(no active services),n/a
2353 PROSPECT ST,RENTED - Rented or Available,10/1/15,"$2,250.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2355 PROSPECT ST,RENTED - Rented or Available,7/10/15,"$2,100.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2357 PROSPECT ST,RENTED - Rented or Available,7/1/14,"$1,928.50","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2363 PROSPECT ST,RENTED - Rented or Available,11/18/15,"$2,050.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2365 PROSPECT ST,RENTED - Rented or Available,6/7/14,"$1,877.75","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2367 PROSPECT ST,RENTED - Rented or Available,7/20/15,"$2,400.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2373 PROSPECT ST,RENTED - Rented or Available,7/20/09,"$1,971.99","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2375 PROSPECT ST,RENTED - Rented or Available,2/6/16,"$2,500.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2360 PROSPECT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Electricity, Garbage, Gas, Storage, Water",n/a
2399 PROSPECT ST #1,RENTED - Rented or Available,5/31/80,$763.98,"Garbage, Water",# Bed: 1# Occ: 0
2399 PROSPECT ST #2,RENTED - Rented or Available,3/12/15,"$1,750.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2399 PROSPECT ST #3,RENTED - Rented or Available,8/2/15,"$2,000.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2399 PROSPECT ST #4,RENTED - Rented or Available,3/24/14,"$1,497.13","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2399 PROSPECT ST #21,RENTED - Rented or Available,11/25/15,"$1,950.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2399 PROSPECT ST #22,RENTED - Rented or Available,5/31/80,$729.40,"Garbage, Water",# Bed: 1# Occ: 0
2399 PROSPECT ST #23,RENTED - Rented or Available,3/15/14,"$1,725.50","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2399 PROSPECT ST #24,RENTED - Rented or Available,10/24/15,"$2,050.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2399 PROSPECT ST #31,RENTED - Rented or Available,5/31/80,$789.60,"Garbage, Water",# Bed: 0# Occ: 0
2399 PROSPECT ST #32,RENTED - Rented or Available,5/31/80,$896.47,"Garbage, Water",# Bed: 1# Occ: 0
2399 PROSPECT ST #33,RENTED - Rented or Available,6/1/15,"$1,750.00","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
