Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2113 10TH ST #3,RENTED - Rented or Available,4/2/14,"$1,517.43","Appliances, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2113 10TH ST #4,RENTED - Rented or Available,6/11/98,$914.99,"Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 0
2113 10TH ST #5,RENTED - Rented or Available,2/16/10,$979.14,"Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 3
2113 10TH ST #6,RENTED - Rented or Available,8/4/15,"$1,795.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2113 10TH ST #7,RENTED - Rented or Available,8/10/13,"$1,340.71","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2113 10TH ST #8,RENTED - Rented or Available,8/20/15,"$1,795.00","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 2
2113 10TH ST #9,RENTED - Rented or Available since 7/1/2010,n/a,"$1,261.14","Appliances, Parking",# Bed: 2
2113 10TH ST #10,RENTED - Rented or Available,7/22/15,"$1,745.00","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 2# Occ: 2
2128 10TH ST,"CHSFD - Single family, C-H exempt since 10/1/2002",n/a,n/a,"Parking, Storage, Water",n/a
2206 10TH ST #A,OOCC - Owner Occupied since 9/11/2014,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
2206 10TH ST #B,DUPLEX - Owner Occ duplex since 10/1/2014,n/a,n/a,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",n/a
2211 10TH ST,RENTED - Rented or Available since 3/21/1996,n/a,"$1,841.05","Electricity, Garbage, Gas, Parking, Water",# Bed: 3
2215 10TH ST #1,RENTED - Rented or Available since 5/1/1996,n/a,$933.97,"Garbage, Parking, Water",# Bed: 2
2215 10TH ST #2,RENTED - Rented or Available,10/15/01,"$1,094.32","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2215 10TH ST #3,RENTED - Rented or Available,12/1/02,"$1,094.32","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2215 10TH ST #4,RENTED - Rented or Available,6/1/04,"$1,248.68","Appliances, Parking, Water",# Bed: 2# Occ: 2
2227 10TH ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Storage, Water",n/a
2227 10TH ST #A,OOCC - Owner Occupied since 8/2/1989,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Storage, Water",n/a
2227 10TH ST #1/2,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Furnishings, Garbage, Laundry Access, Parking, Storage, Water",n/a
2240 10TH ST #A,RENTED - Rented or Available,12/1/10,"$1,392.04","Garbage, Parking, Water",# Bed: 1# Occ: 1
2240 10TH ST #B,RENTED - Rented or Available,10/1/14,"$1,319.50","Garbage, Water",# Bed: 1# Occ: 2
2242 10TH ST,RENTED - Rented or Available since 7/15/2011,n/a,"$1,017.25","Garbage, Water",# Bed: 1
2244 10TH ST,RENTED - Rented or Available,12/15/14,"$1,319.50","Garbage, Water",# Bed: 1# Occ: 1
2246 10TH ST,RENTED - Rented or Available,1/9/16,"$1,400.00","Garbage, Parking, Water",# Bed: 1# Occ: 2
